Film;Kanał;Komentarz;Temat;Sentyment;Emocjonalność (0.0-1.0);Typ Wypowiedzi;Główny Tag;Link
WHO said that GATHERING spec is difficult? | Gordinh - ALBION ONLINE;Gordinh Albion;500M de crédit fama??;Ekonomia;neutralny;0.4;Pytanie;ogromna fama;https://www.youtube.com/watch?v=Tft7nI6wJD8
WHO said that GATHERING spec is difficult? | Gordinh - ALBION ONLINE;Gordinh Albion;only 1 year of premmium time XD  350milion;Ekonomia;negatywny;0.5;Krytyka/Problem;drogie premium;https://www.youtube.com/watch?v=Tft7nI6wJD8
WHO said that GATHERING spec is difficult? | Gordinh - ALBION ONLINE;Gordinh Albion;350 million;Ekonomia;neutralny;0.2;Humor/Spam;miliony srebra;https://www.youtube.com/watch?v=Tft7nI6wJD8
WHO said that GATHERING spec is difficult? | Gordinh - ALBION ONLINE;Gordinh Albion;"Wow, it's incredible what someone who makes millions can do. Leveling up crafting is so boring, but now I see what my option would be—though how am I going to get that much money? Oh God! I'd settle for just getting two of those professions to a high level; I'm stuck at Tier IV and it's already feeling tedious.";Ekonomia;negatywny;0.7;Krytyka/Problem;nudny crafting;https://www.youtube.com/watch?v=Tft7nI6wJD8
WHO said that GATHERING spec is difficult? | Gordinh - ALBION ONLINE;Gordinh Albion;-350 миллионов);Ekonomia;negatywny;0.5;Krytyka/Problem;stracone miliony;https://www.youtube.com/watch?v=Tft7nI6wJD8
WHO said that GATHERING spec is difficult? | Gordinh - ALBION ONLINE;Gordinh Albion;Money power ahh;Ekonomia;negatywny;0.6;Krytyka/Problem;pieniądze dają przewagę;https://www.youtube.com/watch?v=Tft7nI6wJD8
WHO said that GATHERING spec is difficult? | Gordinh - ALBION ONLINE;Gordinh Albion;Only 300 usd;Ekonomia;neutralny;0.4;Krytyka/Problem;koszt w usd;https://www.youtube.com/watch?v=Tft7nI6wJD8
WHO said that GATHERING spec is difficult? | Gordinh - ALBION ONLINE;Gordinh Albion;fk you gordinh everyone doesnt have 500 mil silver;Ekonomia;negatywny;0.8;Krytyka/Problem;nierówność bogactwa;https://www.youtube.com/watch?v=Tft7nI6wJD8
WHO said that GATHERING spec is difficult? | Gordinh - ALBION ONLINE;Gordinh Albion;sure if you have too much silver... or money to convert into silver...;Ekonomia;negatywny;0.5;Krytyka/Problem;pay to win;https://www.youtube.com/watch?v=Tft7nI6wJD8
WHO said that GATHERING spec is difficult? | Gordinh - ALBION ONLINE;Gordinh Albion;Bro spent more than he's making in the times he's playing;Ekonomia;negatywny;0.6;Krytyka/Problem;nieopłacalny wydatek;https://www.youtube.com/watch?v=Tft7nI6wJD8
WHO said that GATHERING spec is difficult? | Gordinh - ALBION ONLINE;Gordinh Albion;Rmt money goes brrrrrrrr;Ekonomia;negatywny;0.7;Krytyka/Problem;podejrzenie rmt;https://www.youtube.com/watch?v=Tft7nI6wJD8
WHO said that GATHERING spec is difficult? | Gordinh - ALBION ONLINE;Gordinh Albion;Me grinding fro 2 months from t1-6 😂;Ekonomia;neutralny;0.5;Humor/Spam;długi grind;https://www.youtube.com/watch?v=Tft7nI6wJD8
WHO said that GATHERING spec is difficult? | Gordinh - ALBION ONLINE;Gordinh Albion;Test server … this is fake & gay;Serwery/Lagi;neutralny;0.4;Krytyka/Problem;serwer testowy;https://www.youtube.com/watch?v=Tft7nI6wJD8
WHO said that GATHERING spec is difficult? | Gordinh - ALBION ONLINE;Gordinh Albion;na minha cabeça não compensa gastar isso tudo pra por tudo no t8;Ekonomia;negatywny;0.4;Krytyka/Problem;nieopłacalny progress;https://www.youtube.com/watch?v=Tft7nI6wJD8
WHO said that GATHERING spec is difficult? | Gordinh - ALBION ONLINE;Gordinh Albion;my poor ass had to grind in order to get all of the gathering spec to T8;Ekonomia;neutralny;0.3;Krytyka/Problem;ciężki grind zbieractwa;https://www.youtube.com/watch?v=Tft7nI6wJD8
WHO said that GATHERING spec is difficult? | Gordinh - ALBION ONLINE;Gordinh Albion;Pensar que hay gente que compra libros y piensa que sabe jugar por tener spec;Inne;negatywny;0.5;Krytyka/Problem;brak umiejętności za książki;https://www.youtube.com/watch?v=Tft7nI6wJD8
WHO said that GATHERING spec is difficult? | Gordinh - ALBION ONLINE;Gordinh Albion;Gatherers seriously need girlfriends.  They've got so much time in their hands xD;Inne;neutralny;0.4;Humor/Spam;no-life zbieracze;https://www.youtube.com/watch?v=Tft7nI6wJD8
WHO said that GATHERING spec is difficult? | Gordinh - ALBION ONLINE;Gordinh Albion;Sorry bro i need to feed my family 😢;Ekonomia;neutralny;0.3;Krytyka/Problem;koszty życia;https://www.youtube.com/watch?v=Tft7nI6wJD8
WHO said that GATHERING spec is difficult? | Gordinh - ALBION ONLINE;Gordinh Albion;By hunting worldbosses for 90 days i was able to max all gathering  to T8. Fishing is the last on the list;Ekonomia;pozytywny;0.2;Pochwała;sukces w zbieractwie;https://www.youtube.com/watch?v=Tft7nI6wJD8
WHO said that GATHERING spec is difficult? | Gordinh - ALBION ONLINE;Gordinh Albion;name of the music?;Inne;neutralny;0.1;Pytanie;pytanie o muzykę;https://www.youtube.com/watch?v=Tft7nI6wJD8
WHO said that GATHERING spec is difficult? | Gordinh - ALBION ONLINE;Gordinh Albion;Это что-то на богатом;Ekonomia;neutralny;0.4;Humor/Spam;bogactwo w grze;https://www.youtube.com/watch?v=Tft7nI6wJD8
WHO said that GATHERING spec is difficult? | Gordinh - ALBION ONLINE;Gordinh Albion;Can't wait till you bring me that juicy loot in bz 😊;PvP;pozytywny;0.7;Humor/Spam;loot z pvp;https://www.youtube.com/watch?v=Tft7nI6wJD8
WHO said that GATHERING spec is difficult? | Gordinh - ALBION ONLINE;Gordinh Albion;ITS just an start point, so after a years how far u got 😂;Inne;neutralny;0.5;Humor/Spam;długa gra;https://www.youtube.com/watch?v=Tft7nI6wJD8
WHO said that GATHERING spec is difficult? | Gordinh - ALBION ONLINE;Gordinh Albion;mf just spend over 300m worth of silver for gathering spec;Ekonomia;neutralny;0.5;Krytyka/Problem;kosztowny specc;https://www.youtube.com/watch?v=Tft7nI6wJD8
WHO said that GATHERING spec is difficult? | Gordinh - ALBION ONLINE;Gordinh Albion;i can feel the rmt across the screen;Ekonomia;negatywny;0.6;Krytyka/Problem;podejrzenie rmt;https://www.youtube.com/watch?v=Tft7nI6wJD8
WHO said that GATHERING spec is difficult? | Gordinh - ALBION ONLINE;Gordinh Albion;🤣 🤣 🤣 🤣 🤣  🤡;Inne;negatywny;0.9;Humor/Spam;toksyczny śmiech;https://www.youtube.com/watch?v=Tft7nI6wJD8
WHO said that GATHERING spec is difficult? | Gordinh - ALBION ONLINE;Gordinh Albion;how to buy the book?;Inne;neutralny;0.2;Pytanie;pytanie o przedmiot;https://www.youtube.com/watch?v=Tft7nI6wJD8
WHO said that GATHERING spec is difficult? | Gordinh - ALBION ONLINE;Gordinh Albion;519 миллионов свободного опыта...;Ekonomia;neutralny;0.3;Pochwała;dużo doświadczenia;https://www.youtube.com/watch?v=Tft7nI6wJD8
WHO said that GATHERING spec is difficult? | Gordinh - ALBION ONLINE;Gordinh Albion;0 game enjoy, only grind - 0 sence;Inne;negatywny;0.8;Krytyka/Problem;brak przyjemności;https://www.youtube.com/watch?v=Tft7nI6wJD8
PESQUEI O FILHOTE DE MAMUTE DOS CARAS #shorts #albiononline #fishing;Danilskinem;Excelente 😅;Inne;pozytywny;0.4;Humor/Spam;rozbawienie gracza;https://www.youtube.com/watch?v=ni-ORnrrF2U
PESQUEI O FILHOTE DE MAMUTE DOS CARAS #shorts #albiononline #fishing;Danilskinem;Bro you are so smart they got their brain turned upside down by your move;PvP;pozytywny;0.8;Pochwała;świetny ruch taktyczny;https://www.youtube.com/watch?v=ni-ORnrrF2U
PESQUEI O FILHOTE DE MAMUTE DOS CARAS #shorts #albiononline #fishing;Danilskinem;Galera e brasileiro?;Inne;neutralny;0.1;Humor/Spam;szukanie rodaków;https://www.youtube.com/watch?v=ni-ORnrrF2U
PESQUEI O FILHOTE DE MAMUTE DOS CARAS #shorts #albiononline #fishing;Danilskinem;Kkkkk que fela da putagem kkkkk amei;Inne;pozytywny;0.9;Humor/Spam;śmiech i podziw;https://www.youtube.com/watch?v=ni-ORnrrF2U
PESQUEI O FILHOTE DE MAMUTE DOS CARAS #shorts #albiononline #fishing;Danilskinem;I need that invis ability. How can i get it?;Inne;neutralny;0.3;Pytanie;pytanie o niewidzialność;https://www.youtube.com/watch?v=ni-ORnrrF2U
PESQUEI O FILHOTE DE MAMUTE DOS CARAS #shorts #albiononline #fishing;Danilskinem;Akvvvvv;Inne;neutralny;0.2;Humor/Spam;okrzyk lub nick;https://www.youtube.com/watch?v=ni-ORnrrF2U
PESQUEI O FILHOTE DE MAMUTE DOS CARAS #shorts #albiononline #fishing;Danilskinem;El caller del equipo contrario surro fuego esa noche;PvP;pozytywny;0.6;Humor/Spam;zabawny komentarz o callera;https://www.youtube.com/watch?v=ni-ORnrrF2U
PESQUEI O FILHOTE DE MAMUTE DOS CARAS #shorts #albiononline #fishing;Danilskinem;Diabolical!!!! Absolute cinema;PvP;pozytywny;0.9;Pochwała;epicka akcja;https://www.youtube.com/watch?v=ni-ORnrrF2U
PESQUEI O FILHOTE DE MAMUTE DOS CARAS #shorts #albiononline #fishing;Danilskinem;XDDD;Inne;neutralny;0.5;Humor/Spam;śmiech w komentarzu;https://www.youtube.com/watch?v=ni-ORnrrF2U
PESQUEI O FILHOTE DE MAMUTE DOS CARAS #shorts #albiononline #fishing;Danilskinem;Gg bro;PvP;pozytywny;0.4;Pochwała;dobra gra;https://www.youtube.com/watch?v=ni-ORnrrF2U
PESQUEI O FILHOTE DE MAMUTE DOS CARAS #shorts #albiononline #fishing;Danilskinem;Esse vídeo eu rir demais dele o cabra passou a mão ✋ no Manute dos cabras kakakaakakakak eu não consigo uma sorte dessas e nem a proeza de sair vivo 😂😂😂😂😂😂😂😂;Inne;pozytywny;1.0;Humor/Spam;ogromne rozbawienie i fart;https://www.youtube.com/watch?v=ni-ORnrrF2U
PESQUEI O FILHOTE DE MAMUTE DOS CARAS #shorts #albiononline #fishing;Danilskinem;WOW 😊;Inne;pozytywny;0.5;Pochwała;podziw dla filmu;https://www.youtube.com/watch?v=ni-ORnrrF2U
PESQUEI O FILHOTE DE MAMUTE DOS CARAS #shorts #albiononline #fishing;Danilskinem;Que sorte kkkkk;Inne;pozytywny;0.7;Humor/Spam;wielkie szczęście;https://www.youtube.com/watch?v=ni-ORnrrF2U
PESQUEI O FILHOTE DE MAMUTE DOS CARAS #shorts #albiononline #fishing;Danilskinem;😅 pppqp dan ,,;PvP;pozytywny;0.8;Humor/Spam;reakcja na akcję;https://www.youtube.com/watch?v=ni-ORnrrF2U
PESQUEI O FILHOTE DE MAMUTE DOS CARAS #shorts #albiononline #fishing;Danilskinem;Mdssss;Inne;pozytywny;0.6;Humor/Spam;ekscytacja gracza;https://www.youtube.com/watch?v=ni-ORnrrF2U
PESQUEI O FILHOTE DE MAMUTE DOS CARAS #shorts #albiononline #fishing;Danilskinem;Hoooooo;Inne;neutralny;0.5;Humor/Spam;emocjonalna reakcja;https://www.youtube.com/watch?v=ni-ORnrrF2U
PESQUEI O FILHOTE DE MAMUTE DOS CARAS #shorts #albiononline #fishing;Danilskinem;This makes me want to just try and steal mammoth babies all day lol;Ekonomia;pozytywny;0.6;Pochwała;kradzież małych mamutów;https://www.youtube.com/watch?v=ni-ORnrrF2U
PESQUEI O FILHOTE DE MAMUTE DOS CARAS #shorts #albiononline #fishing;Danilskinem;My guy. You are a hero.;PvP;pozytywny;0.7;Pochwała;uznanie dla bohatera;https://www.youtube.com/watch?v=ni-ORnrrF2U
PESQUEI O FILHOTE DE MAMUTE DOS CARAS #shorts #albiononline #fishing;Danilskinem;LOL;Inne;pozytywny;0.5;Humor/Spam;śmiech z akcji;https://www.youtube.com/watch?v=ni-ORnrrF2U
PESQUEI O FILHOTE DE MAMUTE DOS CARAS #shorts #albiononline #fishing;Danilskinem;Only the ones who kill the mobs get all the loot, but anyone can loot the mammoth? What a joke;Ekonomia;negatywny;0.7;Krytyka/Problem;niesprawiedliwy loot mamuta;https://www.youtube.com/watch?v=ni-ORnrrF2U
PESQUEI O FILHOTE DE MAMUTE DOS CARAS #shorts #albiononline #fishing;Danilskinem;😮;Inne;neutralny;0.4;Humor/Spam;reakcja zaskoczenia;https://www.youtube.com/watch?v=ni-ORnrrF2U
PESQUEI O FILHOTE DE MAMUTE DOS CARAS #shorts #albiononline #fishing;Danilskinem;Makakinhos xd;Inne;neutralny;0.3;Humor/Spam;losowy komentarz;https://www.youtube.com/watch?v=ni-ORnrrF2U
PESQUEI O FILHOTE DE MAMUTE DOS CARAS #shorts #albiononline #fishing;Danilskinem;El rey de las ratas jajaja;PvP;pozytywny;0.7;Humor/Spam;król szczurów;https://www.youtube.com/watch?v=ni-ORnrrF2U
PESQUEI O FILHOTE DE MAMUTE DOS CARAS #shorts #albiononline #fishing;Danilskinem;No regear for d tanks for 10 years;Balans broni;negatywny;0.6;Krytyka/Problem;brak zwrotu kosztów;https://www.youtube.com/watch?v=ni-ORnrrF2U
PESQUEI O FILHOTE DE MAMUTE DOS CARAS #shorts #albiononline #fishing;Danilskinem;Kakakakakakaka que filho Duma p;Inne;negatywny;0.8;Humor/Spam;śmiech i obelga;https://www.youtube.com/watch?v=ni-ORnrrF2U
PESQUEI O FILHOTE DE MAMUTE DOS CARAS #shorts #albiononline #fishing;Danilskinem;Nem o Mamute acreditou nessa ousadia;PvP;pozytywny;0.6;Pochwała;zuchwała akcja;https://www.youtube.com/watch?v=ni-ORnrrF2U
PESQUEI O FILHOTE DE MAMUTE DOS CARAS #shorts #albiononline #fishing;Danilskinem;"Okay if it's this thick with players the term ""ratting"" no longer applies, this was a suicide mission and he succeeded.";PvP;pozytywny;0.8;Pochwała;udane ratowanie;https://www.youtube.com/watch?v=ni-ORnrrF2U
PESQUEI O FILHOTE DE MAMUTE DOS CARAS #shorts #albiononline #fishing;Danilskinem;You actually diving into hell and back;PvP;pozytywny;0.7;Pochwała;szalone dive;https://www.youtube.com/watch?v=ni-ORnrrF2U
PESQUEI O FILHOTE DE MAMUTE DOS CARAS #shorts #albiononline #fishing;Danilskinem;CYA;Inne;neutralny;0.5;Humor/Spam;pożegnanie gracza;https://www.youtube.com/watch?v=ni-ORnrrF2U
PESQUEI O FILHOTE DE MAMUTE DOS CARAS #shorts #albiononline #fishing;Danilskinem;O.M.G 😂;Inne;pozytywny;0.7;Humor/Spam;wielkie zaskoczenie;https://www.youtube.com/watch?v=ni-ORnrrF2U
PESQUEI O FILHOTE DE MAMUTE DOS CARAS #shorts #albiononline #fishing;Danilskinem;In east that is worth almost 400M. But still, amazing steal!!;Ekonomia;pozytywny;0.7;Pochwała;ogromny zysk;https://www.youtube.com/watch?v=ni-ORnrrF2U
PESQUEI O FILHOTE DE MAMUTE DOS CARAS #shorts #albiononline #fishing;Danilskinem;gay and coward;PvP;negatywny;0.8;Krytyka/Problem;toksyczny komentarz;https://www.youtube.com/watch?v=ni-ORnrrF2U
PESQUEI O FILHOTE DE MAMUTE DOS CARAS #shorts #albiononline #fishing;Danilskinem;Jajaja lo vuelvo a ver y me vuelvo a cagar de risa 😂😂😂😂;PvP;pozytywny;0.9;Humor/Spam;atak śmiechu;https://www.youtube.com/watch?v=ni-ORnrrF2U
PESQUEI O FILHOTE DE MAMUTE DOS CARAS #shorts #albiononline #fishing;Danilskinem;Omg;Inne;neutralny;0.4;Humor/Spam;krótkie wow;https://www.youtube.com/watch?v=ni-ORnrrF2U
PESQUEI O FILHOTE DE MAMUTE DOS CARAS #shorts #albiononline #fishing;Danilskinem;😂😂  muy bueno !!;PvP;pozytywny;0.8;Pochwała;świetna akcja;https://www.youtube.com/watch?v=ni-ORnrrF2U
PESQUEI O FILHOTE DE MAMUTE DOS CARAS #shorts #albiononline #fishing;Danilskinem;Ага, конечно. Вообще не постанова;Inne;negatywny;0.5;Krytyka/Problem;podejrzenie ustawki;https://www.youtube.com/watch?v=ni-ORnrrF2U
PESQUEI O FILHOTE DE MAMUTE DOS CARAS #shorts #albiononline #fishing;Danilskinem;😅😂😂😂🎉;Inne;pozytywny;0.8;Humor/Spam;emotki radości;https://www.youtube.com/watch?v=ni-ORnrrF2U
PESQUEI O FILHOTE DE MAMUTE DOS CARAS #shorts #albiononline #fishing;Danilskinem;The timing can't believe it;PvP;pozytywny;0.6;Pochwała;idealny timing;https://www.youtube.com/watch?v=ni-ORnrrF2U
PESQUEI O FILHOTE DE MAMUTE DOS CARAS #shorts #albiononline #fishing;Danilskinem;Y eso es poco dinero eso lo venden hasta en 230 o 400 millones como locura en el server que yo juego, brutal el profit;Ekonomia;pozytywny;0.8;Pochwała;ogromny profit;https://www.youtube.com/watch?v=ni-ORnrrF2U
PESQUEI O FILHOTE DE MAMUTE DOS CARAS #shorts #albiononline #fishing;Danilskinem;Realmente esse foi o roubo da História do Albion kkk tem cara que rouba guilda mas isso é safadeza, esse aí é o rato raiz kkkkk;PvP;pozytywny;0.9;Pochwała;historyczna kradzież;https://www.youtube.com/watch?v=ni-ORnrrF2U
PESQUEI O FILHOTE DE MAMUTE DOS CARAS #shorts #albiononline #fishing;Danilskinem;How much is something like that worth im new to this game and i didnt even seen so much players in one place;Ekonomia;neutralny;0.4;Pytanie;wartość przedmiotu;https://www.youtube.com/watch?v=ni-ORnrrF2U
PESQUEI O FILHOTE DE MAMUTE DOS CARAS #shorts #albiononline #fishing;Danilskinem;Rat king;PvP;neutralny;0.5;Humor/Spam;król szczurów;https://www.youtube.com/watch?v=ni-ORnrrF2U
PESQUEI O FILHOTE DE MAMUTE DOS CARAS #shorts #albiononline #fishing;Danilskinem;Absolute legend;Inne;pozytywny;0.8;Pochwała;absolutna legenda;https://www.youtube.com/watch?v=ni-ORnrrF2U
PESQUEI O FILHOTE DE MAMUTE DOS CARAS #shorts #albiononline #fishing;Danilskinem;Hahahahahahha;Inne;pozytywny;0.9;Humor/Spam;czysty śmiech;https://www.youtube.com/watch?v=ni-ORnrrF2U
PESQUEI O FILHOTE DE MAMUTE DOS CARAS #shorts #albiononline #fishing;Danilskinem;Cuando entro al HO salio toda su máxima locura a luz;Inne;neutralny;0.6;Humor/Spam;szaleństwo w HO;https://www.youtube.com/watch?v=ni-ORnrrF2U
PESQUEI O FILHOTE DE MAMUTE DOS CARAS #shorts #albiononline #fishing;Danilskinem;Oq eu me surpreendi é vc ter conseguido clicar no saco do mamute no meio desse tanto de gente, acho que eles estavam parados tirando print pra postar, só pode;Inne;neutralny;0.5;Humor/Spam;kliknięcie mamuta;https://www.youtube.com/watch?v=ni-ORnrrF2U
PESQUEI O FILHOTE DE MAMUTE DOS CARAS #shorts #albiononline #fishing;Danilskinem;Imagina a indole do sujeito na vida real...rs;Inne;negatywny;0.7;Krytyka/Problem;charakter gracza;https://www.youtube.com/watch?v=ni-ORnrrF2U
PESQUEI O FILHOTE DE MAMUTE DOS CARAS #shorts #albiononline #fishing;Danilskinem;No way dude 🤣🤣;Inne;pozytywny;0.8;Humor/Spam;niedowierzanie i śmiech;https://www.youtube.com/watch?v=ni-ORnrrF2U
PESQUEI O FILHOTE DE MAMUTE DOS CARAS #shorts #albiononline #fishing;Danilskinem;Langaw success;Inne;pozytywny;0.6;Pochwała;sukces langaw;https://www.youtube.com/watch?v=ni-ORnrrF2U
PESQUEI O FILHOTE DE MAMUTE DOS CARAS #shorts #albiononline #fishing;Danilskinem;Still the best clip on albion online .;Inne;pozytywny;0.9;Pochwała;najlepszy klip;https://www.youtube.com/watch?v=ni-ORnrrF2U
Insane solo bomb! #albiononline;Randiom;Build:  Harvester Cap Scholar Robe Miner Workboots Brimstone staff Morgana/Keeper/Undead cape Stew Sticky pot;Balans broni;neutralny;0.2;Krytyka/Problem;prezentacja buildu;https://www.youtube.com/watch?v=rkG0wuzNqtI
Insane solo bomb! #albiononline;Randiom;4 flat paid actors xD but nice vod even though you lied;PvP;negatywny;0.6;Krytyka/Problem;ustawione walki;https://www.youtube.com/watch?v=rkG0wuzNqtI
Insane solo bomb! #albiononline;Randiom;How did you stun them;Mechanika gry;neutralny;0.4;Pytanie;jak ogłuszyć;https://www.youtube.com/watch?v=rkG0wuzNqtI
Insane solo bomb! #albiononline;Randiom;Is that low spec though.;Inne;neutralny;0.1;Krytyka/Problem;niska jakość;https://www.youtube.com/watch?v=rkG0wuzNqtI
Insane solo bomb! #albiononline;Randiom;aaaand cut;Inne;neutralny;0.3;Humor/Spam;cięcie wideo;https://www.youtube.com/watch?v=rkG0wuzNqtI
Insane solo bomb! #albiononline;Randiom;ho ho ho i am here to make some statements about destrutction animation and how dey are compatible;Animacje;neutralny;0.4;Humor/Spam;animacje zniszczenia;https://www.youtube.com/watch?v=rkG0wuzNqtI
Insane solo bomb! #albiononline;Randiom;Sakit amat;Inne;neutralny;0.5;Humor/Spam;losowy komentarz;https://www.youtube.com/watch?v=rkG0wuzNqtI
Insane solo bomb! #albiononline;Randiom;Why did they stay still without being stunned?;PvP;negatywny;0.5;Pytanie;brak ruchu wrogów;https://www.youtube.com/watch?v=rkG0wuzNqtI
Insane solo bomb! #albiononline;Randiom;what did you use to stun them was it the firewall i thought that makes them run?;Mechanika gry;neutralny;0.4;Pytanie;efekt ognistej ściany;https://www.youtube.com/watch?v=rkG0wuzNqtI
Insane solo bomb! #albiononline;Randiom;Paid actors?😂;PvP;negatywny;0.7;Humor/Spam;podejrzenia o ustawkę;https://www.youtube.com/watch?v=rkG0wuzNqtI
Insane solo bomb! #albiononline;Randiom;snoppen är toppen;Inne;neutralny;0.6;Humor/Spam;szwedzki spam;https://www.youtube.com/watch?v=rkG0wuzNqtI
Insane solo bomb! #albiononline;Randiom;Another finesse video;PvP;pozytywny;0.4;Pochwała;dobra walka;https://www.youtube.com/watch?v=rkG0wuzNqtI
Insane solo bomb! #albiononline;Randiom;Ñankers;Inne;neutralny;0.2;Humor/Spam;nieznany slang;https://www.youtube.com/watch?v=rkG0wuzNqtI
Insane solo bomb! #albiononline;Randiom;Q pro;PvP;pozytywny;0.5;Pochwała;dobra gra;https://www.youtube.com/watch?v=rkG0wuzNqtI
